  Current Time (s),Current Time (years),Pore Volume,Phase1-S11- Volume rate,Phase2-S11- Volume rate,Phase1-S11- Cumulative production,Phase2-S11- Cumulative production,Phase1-S11- Averaged PhaseVolumeFraction,Phase2-S11- Averaged PhaseVolumeFraction,Phase1-S11- Averaged Density,Phase2-S11- Averaged Density
 0.65264076077E-01,0.20695102764E-08,0.30430818085E+01,0.17677665125E-06,0.70710660489E+00,0.11537164781E-07,0.46148659119E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.71890483685E-01,0.22796322833E-08,0.30430818085E+01,0.17677665124E-06,0.70710660484E+00,0.12708558928E-07,0.50834235705E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.79179532054E-01,0.25107664908E-08,0.30430818085E+01,0.17677665123E-06,0.70710660483E+00,0.13997092489E-07,0.55988369949E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.87197485259E-01,0.27650141191E-08,0.30430818085E+01,0.17677665125E-06,0.70710660491E+00,0.15414479407E-07,0.61657917618E-01,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.96017233785E-01,0.30446865102E-08,0.30430818085E+01,0.17677665124E-06,0.70710660486E+00,0.16973605016E-07,0.67894420054E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.10571895716E+00,0.33523261404E-08,0.30430818085E+01,0.17677665124E-06,0.70710660483E+00,0.18688643186E-07,0.74754572733E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.11639085288E+00,0.36907297336E-08,0.30430818085E+01,0.17677665122E-06,0.70710660474E+00,0.20575185173E-07,0.82300740679E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.12812993817E+00,0.40629736862E-08,0.30430818085E+01,0.17677665117E-06,0.70710660456E+00,0.22650381358E-07,0.90601525418E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.14104293198E+00,0.44724420340E-08,0.30430818085E+01,0.17677665115E-06,0.70710660447E+00,0.24933097161E-07,0.99732388629E-01,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.15524722518E+00,0.49228572166E-08,0.30430818085E+01,0.17677665118E-06,0.70710660458E+00,0.27444084545E-07,0.10977633816E+00,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.17087194770E+00,0.54183139175E-08,0.30430818085E+01,0.17677665084E-06,0.70710660324E+00,0.30206170662E-07,0.12082468263E+00,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.18805914247E+00,0.59633162884E-08,0.30430818085E+01,0.17677665113E-06,0.70710660439E+00,0.33244465396E-07,0.13297786156E+00,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.20696505672E+00,0.65628188964E-08,0.30430818085E+01,0.17677665101E-06,0.70710660387E+00,0.36586589601E-07,0.14634635838E+00,0.20000000004E+00,0.79999999995E+00,0.10000000000E+01,0.10000000000E+01
 0.22776156239E+00,0.72222717653E-08,0.30430818085E+01,0.17677665112E-06,0.70710660438E+00,0.40262926229E-07,0.16105170489E+00,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.25063771863E+00,0.79476699210E-08,0.30430818085E+01,0.17677665132E-06,0.70710660514E+00,0.44306896524E-07,0.17722758606E+00,0.20000000004E+00,0.79999999995E+00,0.10000000000E+01,0.10000000000E+01
 0.27580149049E+00,0.87456078923E-08,0.30430818085E+01,0.17677665138E-06,0.70710660461E+00,0.48755263850E-07,0.19502105535E+00,0.20000000004E+00,0.79999999978E+00,0.10000000000E+01,0.10000000000E+01
 0.30348163954E+00,0.96233396608E-08,0.30430818085E+01,0.17677665131E-06,0.70710660514E+00,0.53648467906E-07,0.21459387157E+00,0.20000000004E+00,0.79999999996E+00,0.10000000000E+01,0.10000000000E+01
 0.33392980350E+00,0.10588844606E-07,0.30430818085E+01,0.17677665150E-06,0.70710660592E+00,0.59030992374E-07,0.23612396944E+00,0.20000000004E+00,0.79999999997E+00,0.10000000000E+01,0.10000000000E+01
 0.36742278385E+00,0.11650900046E-07,0.30430818085E+01,0.17677668119E-06,0.70710662915E+00,0.64951770284E-07,0.25980707787E+00,0.20000002026E+00,0.79999997948E+00,0.10000000000E+01,0.10000000000E+01
 0.40426506223E+00,0.12819161030E-07,0.30430818085E+01,0.18019126487E-06,0.70708891616E+00,0.71590427027E-07,0.28585784457E+00,0.20000756517E+00,0.79999243477E+00,0.10000000000E+01,0.10000000000E+01
 0.44479156845E+00,0.14104248112E-07,0.30430818085E+01,0.64285027743E-04,0.70608627077E+00,0.26768380039E-05,0.31447305421E+00,0.20056985024E+00,0.79943014961E+00,0.10000000000E+01,0.10000000000E+01
 0.48937072530E+00,0.15517843902E-07,0.30430818085E+01,0.87918929695E-02,0.69870274439E+00,0.39461201366E-03,0.34562063344E+00,0.20736842463E+00,0.79263157537E+00,0.10000000000E+01,0.10000000000E+01
 0.53840779783E+00,0.17072799272E-07,0.30430818085E+01,0.61822894947E-01,0.64904735510E+00,0.34262257972E-02,0.37744801567E+00,0.22236454440E+00,0.77763545558E+00,0.10000000000E+01,0.10000000000E+01
 0.59234857761E+00,0.18783250178E-07,0.30430818085E+01,0.14866411021E+00,0.56515748333E+00,0.11445283827E-01,0.40793305102E+00,0.24320964105E+00,0.75679035894E+00,0.10000000000E+01,0.10000000000E+01
 0.65168343537E+00,0.20664746175E-07,0.30430818085E+01,0.23160480576E+00,0.47683577410E+00,0.25187522034E-01,0.43622603385E+00,0.26207031338E+00,0.73792968660E+00,0.10000000000E+01,0.10000000000E+01
 0.71695177891E+00,0.22734391772E-07,0.30430818085E+01,0.29479865434E+00,0.41175536390E+00,0.44428541880E-01,0.46310062440E+00,0.27733713640E+00,0.72266286359E+00,0.10000000000E+01,0.10000000000E+01
 0.78874695680E+00,0.25011001928E-07,0.30430818085E+01,0.33996861028E+00,0.36624111023E+00,0.68836648732E-01,0.48939497006E+00,0.28975729981E+00,0.71024270020E+00,0.10000000000E+01,0.10000000000E+01
 0.86772165248E+00,0.27515273100E-07,0.30430818085E+01,0.37353078139E+00,0.33187010206E+00,0.98336128519E-01,0.51560431037E+00,0.30032807049E+00,0.69967192952E+00,0.10000000000E+01,0.10000000000E+01
 0.95459381773E+00,0.30269971389E-07,0.30430818085E+01,0.40041421108E+00,0.30392152203E+00,0.13312097803E+00,0.54200663106E+00,0.30991269483E+00,0.69008730517E+00,0.10000000000E+01,0.10000000000E+01
 0.10501531995E+01,0.33300139507E-07,0.30430818085E+01,0.42346182593E+00,0.27973494097E+00,0.17358672832E+00,0.56873792908E+00,0.31881314127E+00,0.68118685873E+00,0.10000000000E+01,0.10000000000E+01
 0.11552685195E+01,0.36633324437E-07,0.30430818085E+01,0.44426792265E+00,0.25787725351E+00,0.22028609316E+00,0.59584477909E+00,0.32736839557E+00,0.67263160444E+00,0.10000000000E+01,0.10000000000E+01
 0.12708953714E+01,0.40299827860E-07,0.30430818085E+01,0.46366059255E+00,0.23759336692E+00,0.27389770784E+00,0.62331695215E+00,0.33575497713E+00,0.66424502289E+00,0.10000000000E+01,0.10000000000E+01
 0.13980849085E+01,0.44332981625E-07,0.30430818085E+01,0.48194180215E+00,0.21861457006E+00,0.33519566259E+00,0.65112243812E+00,0.34398499844E+00,0.65601500158E+00,0.10000000000E+01,0.10000000000E+01
 0.15379933994E+01,0.48769450767E-07,0.30430818085E+01,0.49915491527E+00,0.20089349178E+00,0.40503167348E+00,0.67922914338E+00,0.35200917999E+00,0.64799082001E+00,0.10000000000E+01,0.10000000000E+01
 0.16918927393E+01,0.53649566823E-07,0.30430818085E+01,0.51521740846E+00,0.18451298418E+00,0.48432329257E+00,0.70762556986E+00,0.35975828103E+00,0.64024171897E+00,0.10000000000E+01,0.10000000000E+01
 0.18611820133E+01,0.59017694484E-07,0.30430818085E+01,0.53005563153E+00,0.16950698518E+00,0.57405602558E+00,0.73632128430E+00,0.36720016926E+00,0.63279983074E+00,0.10000000000E+01,0.10000000000E+01
 0.20474002146E+01,0.64922634912E-07,0.30430818085E+01,0.54362863392E+00,0.15590018418E+00,0.67528957198E+00,0.76535273619E+00,0.37431917353E+00,0.62568082647E+00,0.10000000000E+01,0.10000000000E+01
 0.22522402360E+01,0.71418069382E-07,0.30430818085E+01,0.55599696293E+00,0.14360752941E+00,0.78918000179E+00,0.79476930559E+00,0.38113644944E+00,0.61886355056E+00,0.10000000000E+01,0.10000000000E+01
 0.24775642596E+01,0.78563047300E-07,0.30430818085E+01,0.56720388248E+00,0.13253808883E+00,0.91698466280E+00,0.82463332105E+00,0.38767457064E+00,0.61232542936E+00,0.10000000000E+01,0.10000000000E+01
 0.27254206856E+01,0.86422523009E-07,0.30430818085E+01,0.57734376687E+00,0.12257808402E+00,0.10600830254E+01,0.85501508686E+00,0.39396663501E+00,0.60603336499E+00,0.10000000000E+01,0.10000000000E+01
 0.29980627542E+01,0.95067946289E-07,0.30430818085E+01,0.58652384598E+00,0.11361180514E+00,0.12199941000E+01,0.88599044442E+00,0.40004803687E+00,0.59995196313E+00,0.10000000000E+01,0.10000000000E+01
 0.32979690296E+01,0.10457791190E-06,0.30430818085E+01,0.59485740852E+00,0.10554068039E+00,0.13983955698E+01,0.91764275678E+00,0.40624106108E+00,0.59375893892E+00,0.10000000000E+01,0.10000000000E+01
 0.36278659326E+01,0.11503887407E-06,0.30430818085E+01,0.60261250540E+00,0.97782026975E-01,0.15971955690E+01,0.94990074465E+00,0.41552570541E+00,0.58447429459E+00,0.10000000000E+01,0.10000000000E+01
 0.39907525258E+01,0.12654593245E-06,0.30430818085E+01,0.61025710439E+00,0.89829923946E-01,0.18186496907E+01,0.98249881972E+00,0.42771287028E+00,0.57228712972E+00,0.10000000000E+01,0.10000000000E+01
 0.43739012616E+01,0.13869549916E-06,0.30430818085E+01,0.61879355197E+00,0.81490368893E-01,0.20557396578E+01,0.10137217515E+01,0.44191289612E+00,0.55808710388E+00,0.10000000000E+01,0.10000000000E+01
 0.47570880610E+01,0.15084627286E-06,0.30430818085E+01,0.62873213512E+00,0.72617941288E-01,0.22966615124E+01,0.10415479880E+01,0.45689532657E+00,0.54310467343E+00,0.10000000000E+01,0.10000000000E+01
 0.51402196391E+01,0.16299529551E-06,0.30430818085E+01,0.63920641639E+00,0.63396622176E-01,0.25415616754E+01,0.10658372359E+01,0.47135307917E+00,0.52864692083E+00,0.10000000000E+01,0.10000000000E+01
 0.55232720344E+01,0.17514180728E-06,0.30430818085E+01,0.64888402685E+00,0.54884569070E-01,0.27901182562E+01,0.10868609016E+01,0.48425521900E+00,0.51574478101E+00,0.10000000000E+01,0.10000000000E+01
